strategy,family,parameter,anchor,metric,oracle_system_advantage,curve_shape_effect,total_vs_univ2
dodo-k1000000000000000000,dodo,K=1000000000000000000,dodo-k1000000000000000000,netEdge,398.8777505303064,0,398.8777505303064
dodo-k1000000000000000000,dodo,K=1000000000000000000,dodo-k1000000000000000000,retailEdge,-2.649141354664212,0,-2.649141354664212
dodo-k1000000000000000000,dodo,K=1000000000000000000,dodo-k1000000000000000000,arbitrageEdge,401.5268918849708,0,401.5268918849708
flashbots-c1,flashbots,concentration=1,flashbots-c1,netEdge,398.88495853587773,0,398.88495853587773
flashbots-c1,flashbots,concentration=1,flashbots-c1,retailEdge,-1.971445110807138,0,-1.971445110807138
flashbots-c1,flashbots,concentration=1,flashbots-c1,arbitrageEdge,400.85640364668393,0,400.85640364668393
dodo-k500000000000000000,dodo,K=500000000000000000,dodo-k1000000000000000000,netEdge,398.8777505303064,-0.0031150379075923097,398.8746354923991
dodo-k500000000000000000,dodo,K=500000000000000000,dodo-k1000000000000000000,retailEdge,-2.649141354664212,-90.96702799829393,-93.6161693529582
dodo-k500000000000000000,dodo,K=500000000000000000,dodo-k1000000000000000000,arbitrageEdge,401.5268918849708,90.96391296038628,492.49080484535654
flashbots-c2,flashbots,concentration=2,flashbots-c1,netEdge,398.88495853587773,-0.004451620978753283,398.8805069148987
flashbots-c2,flashbots,concentration=2,flashbots-c1,retailEdge,-1.971445110807138,-87.49922032518745,-89.47066543599453
flashbots-c2,flashbots,concentration=2,flashbots-c1,arbitrageEdge,400.85640364668393,87.49476870420864,488.3511723508925
dodo-k200000000000000000,dodo,K=200000000000000000,dodo-k1000000000000000000,netEdge,398.8777505303064,-0.016878896946027587,398.860871633361
dodo-k200000000000000000,dodo,K=200000000000000000,dodo-k1000000000000000000,retailEdge,-2.649141354664212,-252.8606609702313,-255.50980232489547
dodo-k200000000000000000,dodo,K=200000000000000000,dodo-k1000000000000000000,arbitrageEdge,401.5268918849708,252.84378207328572,654.3706739582565
flashbots-c5,flashbots,concentration=5,flashbots-c1,netEdge,398.88495853587773,-0.014958097946388818,398.8700004379309
flashbots-c5,flashbots,concentration=5,flashbots-c1,retailEdge,-1.971445110807138,-250.01679980766664,-251.9882449184742
flashbots-c5,flashbots,concentration=5,flashbots-c1,arbitrageEdge,400.85640364668393,250.00184170972065,650.8582453564043
dodo-k100000000000000000,dodo,K=100000000000000000,dodo-k1000000000000000000,netEdge,398.8777505303064,-0.023814079520983557,398.8539364507863
dodo-k100000000000000000,dodo,K=100000000000000000,dodo-k1000000000000000000,retailEdge,-2.649141354664212,-357.1482603331938,-359.79740168785787
dodo-k100000000000000000,dodo,K=100000000000000000,dodo-k1000000000000000000,arbitrageEdge,401.5268918849708,357.1244462536724,758.6513381386441
flashbots-c10,flashbots,concentration=10,flashbots-c1,netEdge,398.88495853587773,-0.02758355204951219,398.8573749838275
flashbots-c10,flashbots,concentration=10,flashbots-c1,retailEdge,-1.971445110807138,-356.14731761514685,-358.1187627259543
flashbots-c10,flashbots,concentration=10,flashbots-c1,arbitrageEdge,400.85640364668393,356.11973406309744,756.9761377097811
dodo-k50000000000000000,dodo,K=50000000000000000,dodo-k1000000000000000000,netEdge,398.8777505303064,-0.029668119018684817,398.84808241128843
dodo-k50000000000000000,dodo,K=50000000000000000,dodo-k1000000000000000000,retailEdge,-2.649141354664212,-425.6227469961915,-428.27188835085576
dodo-k50000000000000000,dodo,K=50000000000000000,dodo-k1000000000000000000,arbitrageEdge,401.5268918849708,425.5930788771728,827.119970762143
flashbots-c20,flashbots,concentration=20,flashbots-c1,netEdge,398.88495853587773,-0.03562437362152995,398.8493341622556
flashbots-c20,flashbots,concentration=20,flashbots-c1,retailEdge,-1.971445110807138,-425.92198237724386,-427.8934274880513
flashbots-c20,flashbots,concentration=20,flashbots-c1,arbitrageEdge,400.85640364668393,425.88635800362204,826.7427616503085
dodo-k20000000000000000,dodo,K=20000000000000000,dodo-k1000000000000000000,netEdge,398.8777505303064,-0.033526117198624535,398.84422441310767
dodo-k20000000000000000,dodo,K=20000000000000000,dodo-k1000000000000000000,retailEdge,-2.649141354664212,-469.80823828043805,-472.45737963510163
dodo-k20000000000000000,dodo,K=20000000000000000,dodo-k1000000000000000000,arbitrageEdge,401.5268918849708,469.7747121632386,871.30160404821
flashbots-c50,flashbots,concentration=50,flashbots-c1,netEdge,398.88495853587773,-0.040127063826128274,398.84483147205106
flashbots-c50,flashbots,concentration=50,flashbots-c1,retailEdge,-1.971445110807138,-470.4903964629326,-472.46184157374023
flashbots-c50,flashbots,concentration=50,flashbots-c1,arbitrageEdge,400.85640364668393,470.45026939910696,871.3066730457923
dodo-k10000000000000000,dodo,K=10000000000000000,dodo-k1000000000000000000,netEdge,398.8777505303064,-0.03481191158537118,398.84293861872146
dodo-k10000000000000000,dodo,K=10000000000000000,dodo-k1000000000000000000,retailEdge,-2.649141354664212,-484.8150049771213,-487.4641463317856
dodo-k10000000000000000,dodo,K=10000000000000000,dodo-k1000000000000000000,arbitrageEdge,401.5268918849708,484.78019306553585,886.3070849505087
flashbots-c100,flashbots,concentration=100,flashbots-c1,netEdge,398.88495853587773,-0.04149815765405749,398.84346037822314
flashbots-c100,flashbots,concentration=100,flashbots-c1,retailEdge,-1.971445110807138,-485.5305520653568,-487.5019971761647
flashbots-c100,flashbots,concentration=100,flashbots-c1,arbitrageEdge,400.85640364668393,485.48905390770267,886.3454575543861
dodo-k1000000000000000,dodo,K=1000000000000000,dodo-k1000000000000000000,netEdge,398.8777505303064,-0.036381282203243256,398.8413692481032
dodo-k1000000000000000,dodo,K=1000000000000000,dodo-k1000000000000000000,retailEdge,-2.649141354664212,-498.4073905205325,-501.0565318751961
dodo-k1000000000000000,dodo,K=1000000000000000,dodo-k1000000000000000000,arbitrageEdge,401.5268918849708,498.37100923832827,899.897901123301
flashbots-c1000,flashbots,concentration=1000,flashbots-c1,netEdge,398.88495853587773,-0.04313293783171832,398.84182559804435
flashbots-c1000,flashbots,concentration=1000,flashbots-c1,retailEdge,-1.971445110807138,-499.1053072532205,-501.0767523640275
flashbots-c1000,flashbots,concentration=1000,flashbots-c1,arbitrageEdge,400.85640364668393,499.06217431538886,899.9185779620736
