pairing_index,metric,treatment,baseline,samples,mean,p5,p50,p95,std_error,ci95_low,ci95_high,t_stat,paired_win_rate,significant_95
0,arbitrageEdge,flashbots-c1,dodo-k1000000000000000000,1000,-0.6704882382868805,-24.556366052295687,0.008331126954089996,21.427387802643125,0.5566870029761044,-1.7615747147815872,0.42059823820782605,-1.2044258886993648,0.502,false
0,netEdge,flashbots-c1,dodo-k1000000000000000000,1000,0.007208005570192285,-0.3838128847851294,0.00023899880807221052,0.4470143452742832,0.009956084695628892,-0.012305561860270767,0.02672157300065534,0.7239799369481941,0.502,false
0,retailEdge,flashbots-c1,dodo-k1000000000000000000,1000,0.6776962438570728,-21.492449261666764,-0.010381834160142489,24.39141719838517,0.5567067628342967,-0.4134289612480302,1.7688214489621759,1.217330718970965,0.498,false
1,arbitrageEdge,flashbots-c2,dodo-k500000000000000000,1000,-4.139632494464446,-46.47257954511332,-1.0002457213288949,27.8038806863903,0.7842775625025497,-5.676788270852304,-2.6024767180765878,-5.278274800129818,0.441,true
1,netEdge,flashbots-c2,dodo-k500000000000000000,1000,0.005871422499031311,-0.3246956831000034,0.00040785419022881797,0.38533068777474,0.00919488970084541,-0.012150230156443967,0.023893075154506588,0.6385527929162078,0.505,false
1,retailEdge,flashbots-c2,dodo-k500000000000000000,1000,4.145503916963484,-28.320604954330463,0.9894972816412633,46.23387599999273,0.7838115372388663,2.609261533308331,5.681746300618638,5.288903926531695,0.561,true
2,arbitrageEdge,flashbots-c5,dodo-k200000000000000000,1000,-3.512428601851957,-43.37459115833883,-0.8409428263443033,26.888859623953238,0.7689547313780859,-5.019552181094677,-2.005305022609237,-4.567796332506,0.474,true
2,netEdge,flashbots-c5,dodo-k200000000000000000,1000,0.009128804569831055,-0.23632455633813265,-0.00030152873279121195,0.2919794613979434,0.006351849416097489,-0.0033205915209417944,0.021578200660603904,1.437188442581137,0.496,false
2,retailEdge,flashbots-c5,dodo-k200000000000000000,1000,3.521557406421779,-26.9269740941574,0.758144859355582,42.760599410161035,0.7685837862690534,2.0151608662330034,5.0279539466105545,4.581878344736522,0.528,true
3,arbitrageEdge,flashbots-c10,dodo-k100000000000000000,1000,-1.6752004288616544,-30.811043699152805,1.0733239061173272,21.859715087020646,0.5794225477069234,-2.8108477541976655,-0.5395531035256433,-2.891155056860135,0.567,true
3,netEdge,flashbots-c10,dodo-k100000000000000000,1000,0.0034385330416636536,-0.16578894501574837,0.000621300351056675,0.2044095975215896,0.0043521625893294105,-0.005091548888284576,0.011968614971611884,0.7900745827130207,0.515,false
3,retailEdge,flashbots-c10,dodo-k100000000000000000,1000,1.6786389619033224,-21.852558991763487,-1.0732141007000564,30.340266182937285,0.5793953191089847,0.5430450036386207,2.814232920168024,2.8972256187447196,0.431,true
4,arbitrageEdge,flashbots-c20,dodo-k50000000000000000,1000,-0.37720911183736733,-17.276610825986438,0.9365525974432103,13.06173376016281,0.3303791005588552,-1.0247402501774605,0.2703220265027258,-1.1417462884283431,0.62,false
4,netEdge,flashbots-c20,dodo-k50000000000000000,1000,0.0012517509673471423,-0.10004458120550908,-0.0003463796216749415,0.1086844181543114,0.0026330894846764083,-0.003909009590689749,0.006412511525384032,0.47539249031674113,0.492,false
4,retailEdge,flashbots-c20,dodo-k50000000000000000,1000,0.37846086280471414,-13.106380169423232,-0.925463047377427,17.02670173173206,0.330218001244418,-0.26875452668114796,1.0256762522905762,1.1460939784581523,0.382,false
5,arbitrageEdge,flashbots-c50,dodo-k20000000000000000,1000,0.005068997580611558,-6.871543535473407,0.43024804540511496,5.882370465891583,0.1412280990429595,-0.2717329901486447,0.28187098530986787,0.03589227366906386,0.633,false
5,netEdge,flashbots-c50,dodo-k20000000000000000,1000,0.0006070589426885293,-0.04307982539518207,-0.000002628718128505625,0.04513752622165157,0.001191673201616669,-0.0017285776138216804,0.002942695499198739,0.5094172981862563,0.499,false
5,retailEdge,flashbots-c50,dodo-k20000000000000000,1000,-0.004461938637922822,-5.917214595679177,-0.4316788863852743,6.848915090667273,0.14119075953967955,-0.2811907422855498,0.27226686500970415,-0.031602200118973515,0.366,false
6,arbitrageEdge,flashbots-c100,dodo-k10000000000000000,1000,0.03837260387960714,-3.3374713308198807,0.24702441415389842,3.092999006139536,0.07436677602495657,-0.1073835987756645,0.1841288065348788,0.5159912252580342,0.63,false
6,netEdge,flashbots-c100,dodo-k10000000000000000,1000,0.0005217595015059637,-0.02070444621562295,0.00011908726294507233,0.023191859050829322,0.0006307521560483881,-0.000714492007519865,0.0017580110105317923,0.8272020896048066,0.512,false
6,retailEdge,flashbots-c100,dodo-k10000000000000000,1000,-0.037850844378101135,-3.0984809828546496,-0.2468904859731591,3.2888147781479375,0.0743678121976675,-0.18360907789456796,0.1079073891383657,-0.5089681040702755,0.372,false
7,arbitrageEdge,flashbots-c1000,dodo-k1000000000000000,1000,0.020676838772806194,-0.35964227171797347,0.03928487572551376,0.32626378685051804,0.008089758956563943,0.004821202574330538,0.03653247497128185,2.555927671494987,0.652,true
7,netEdge,flashbots-c1000,dodo-k1000000000000000,1000,0.0004563499417172122,-0.005421901867712187,0.0001269717955345584,0.007240458991909338,0.00012113114557411781,0.0002189372589858629,0.0006937626244485614,3.7674038295789125,0.529,true
7,retailEdge,flashbots-c1000,dodo-k1000000000000000,1000,-0.020220488831088953,-0.33206541821760793,-0.03942479190837367,0.34932670921933484,0.00809484673024531,-0.03608609688274158,-0.0043548807794363265,-2.497945854309731,0.349,true
