strategy,family,parameter,side,input,output,average_price,slippage_bps
dodo-k1000000000000000000,dodo,K=1000000000000000000,buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
dodo-k1000000000000000000,dodo,K=1000000000000000000,buy_x,0.1,0.00099999,100.0010000100001,-0.0999999999995449
dodo-k1000000000000000000,dodo,K=1000000000000000000,buy_x,1,0.009999,100.01000100010002,-1.000000000001
dodo-k1000000000000000000,dodo,K=1000000000000000000,buy_x,10,0.099900099,100.100000901901,-9.990099999999114
dodo-k1000000000000000000,dodo,K=1000000000000000000,buy_x,50,0.497512437,100.500000163815,-49.75126000000052
dodo-k1000000000000000000,dodo,K=1000000000000000000,buy_x,100,0.990099009,101.00000009191,-99.0099099999997
dodo-k1000000000000000000,dodo,K=1000000000000000000,buy_x,500,4.761904761,105.00000001995,-476.19047799999925
dodo-k1000000000000000000,dodo,K=1000000000000000000,buy_x,1000,9.09090909,110.000000011,-909.09091
dodo-k1000000000000000000,dodo,K=1000000000000000000,buy_x,2500,20,125,-1999.9999999999995
dodo-k1000000000000000000,dodo,K=1000000000000000000,sell_x,0.0001,0.00999999,99.9999,-0.010000000000287557
dodo-k1000000000000000000,dodo,K=1000000000000000000,sell_x,0.001,0.099999,99.99900000000001,-0.0999999999995449
dodo-k1000000000000000000,dodo,K=1000000000000000000,sell_x,0.01,0.999900009,99.9900009,-0.9999100000002148
dodo-k1000000000000000000,dodo,K=1000000000000000000,sell_x,0.1,9.99000999,99.9000999,-9.990009999999439
dodo-k1000000000000000000,dodo,K=1000000000000000000,sell_x,0.5,49.751243781,99.502487562,-49.75124380000029
dodo-k1000000000000000000,dodo,K=1000000000000000000,sell_x,1,99.00990099,99.00990099,-99.00990099999896
dodo-k1000000000000000000,dodo,K=1000000000000000000,sell_x,5,476.19047619,95.238095238,-476.1904762000002
dodo-k1000000000000000000,dodo,K=1000000000000000000,sell_x,10,909.09090909,90.909090909,-909.0909090999999
dodo-k1000000000000000000,dodo,K=1000000000000000000,sell_x,25,2000,80,-1999.9999999999995
flashbots-c1,flashbots,concentration=1,buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
flashbots-c1,flashbots,concentration=1,buy_x,0.1,0.00099999,100.0010000100001,-0.0999999999995449
flashbots-c1,flashbots,concentration=1,buy_x,1,0.009999,100.01000100010002,-1.000000000001
flashbots-c1,flashbots,concentration=1,buy_x,10,0.099900099,100.100000901901,-9.990099999999114
flashbots-c1,flashbots,concentration=1,buy_x,50,0.497512437,100.500000163815,-49.75126000000052
flashbots-c1,flashbots,concentration=1,buy_x,100,0.990099009,101.00000009191,-99.0099099999997
flashbots-c1,flashbots,concentration=1,buy_x,500,4.761904761,105.00000001995,-476.19047799999925
flashbots-c1,flashbots,concentration=1,buy_x,1000,9.09090909,110.000000011,-909.09091
flashbots-c1,flashbots,concentration=1,buy_x,2500,20,125,-1999.9999999999995
flashbots-c1,flashbots,concentration=1,sell_x,0.0001,0.00999999,99.9999,-0.010000000000287557
flashbots-c1,flashbots,concentration=1,sell_x,0.001,0.099999,99.99900000000001,-0.0999999999995449
flashbots-c1,flashbots,concentration=1,sell_x,0.01,0.999900009,99.9900009,-0.9999100000002148
flashbots-c1,flashbots,concentration=1,sell_x,0.1,9.99000999,99.9000999,-9.990009999999439
flashbots-c1,flashbots,concentration=1,sell_x,0.5,49.751243781,99.502487562,-49.75124380000029
flashbots-c1,flashbots,concentration=1,sell_x,1,99.00990099,99.00990099,-99.00990099999896
flashbots-c1,flashbots,concentration=1,sell_x,5,476.19047619,95.238095238,-476.1904762000002
flashbots-c1,flashbots,concentration=1,sell_x,10,909.09090909,90.909090909,-909.0909090999999
flashbots-c1,flashbots,concentration=1,sell_x,25,2000,80,-1999.9999999999995
dodo-k500000000000000000,dodo,K=500000000000000000,buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
dodo-k500000000000000000,dodo,K=500000000000000000,buy_x,0.1,0.000999995,100.00050000250002,-0.05000000000032756
dodo-k500000000000000000,dodo,K=500000000000000000,buy_x,1,0.0099995,100.0050002500125,-0.49999999999994493
dodo-k500000000000000000,dodo,K=500000000000000000,buy_x,10,0.09995,100.05002501250625,-5.0000000000005596
dodo-k500000000000000000,dodo,K=500000000000000000,buy_x,50,0.498750007,100.25062515938973,-24.999860000000098
dodo-k500000000000000000,dodo,K=500000000000000000,buy_x,100,0.995000124,100.50250003787939,-49.998759999999585
dodo-k500000000000000000,dodo,K=500000000000000000,buy_x,500,4.875078027,102.56246099668837,-249.84394600000016
dodo-k500000000000000000,dodo,K=500000000000000000,buy_x,1000,9.501243788,105.24937811436777,-498.756212
dodo-k500000000000000000,dodo,K=500000000000000000,buy_x,2500,21.922359359,114.03882032312596,-1231.0562563999995
dodo-k500000000000000000,dodo,K=500000000000000000,sell_x,0.0001,0.009999995,99.99994999999998,-0.005000000001809113
dodo-k500000000000000000,dodo,K=500000000000000000,sell_x,0.001,0.0999995,99.9995,-0.05000000000032756
dodo-k500000000000000000,dodo,K=500000000000000000,sell_x,0.01,0.99995,99.995,-0.49999999999994493
dodo-k500000000000000000,dodo,K=500000000000000000,sell_x,0.1,9.995000001,99.95000000999998,-4.999999000001587
dodo-k500000000000000000,dodo,K=500000000000000000,sell_x,0.5,49.875000781,99.750001562,-24.999843800000974
dodo-k500000000000000000,dodo,K=500000000000000000,sell_x,1,99.500012499,99.500012499,-49.99875010000099
dodo-k500000000000000000,dodo,K=500000000000000000,sell_x,5,487.507802749,97.5015605498,-249.84394501999964
dodo-k500000000000000000,dodo,K=500000000000000000,sell_x,10,950.124378879,95.0124378879,-498.75621120999966
dodo-k500000000000000000,dodo,K=500000000000000000,sell_x,25,2192.235935955,87.6894374382,-1231.0562561799998
flashbots-c2,flashbots,concentration=2,buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
flashbots-c2,flashbots,concentration=2,buy_x,0.1,0.000999995,100.00050000250002,-0.05000000000032756
flashbots-c2,flashbots,concentration=2,buy_x,1,0.0099995,100.0050002500125,-0.49999999999994493
flashbots-c2,flashbots,concentration=2,buy_x,10,0.099950024,100.050000988494,-4.997599999999602
flashbots-c2,flashbots,concentration=2,buy_x,50,0.498753117,100.25000004160374,-24.93765999999953
flashbots-c2,flashbots,concentration=2,buy_x,100,0.995024875,100.5000000628125,-49.7512500000008
flashbots-c2,flashbots,concentration=2,buy_x,500,4.87804878,102.50000001024999,-243.90243999999893
flashbots-c2,flashbots,concentration=2,buy_x,1000,9.523809523,105.000000008925,-476.19047700000027
flashbots-c2,flashbots,concentration=2,buy_x,2500,22.222222222,112.500000001125,-1111.1111112000006
flashbots-c2,flashbots,concentration=2,sell_x,0.0001,0.009999995,99.99994999999998,-0.005000000001809113
flashbots-c2,flashbots,concentration=2,sell_x,0.001,0.0999995,99.9995,-0.05000000000032756
flashbots-c2,flashbots,concentration=2,sell_x,0.01,0.999950002,99.99500019999999,-0.49998000000051057
flashbots-c2,flashbots,concentration=2,sell_x,0.1,9.995002498,99.95002498,-4.997502000000376
flashbots-c2,flashbots,concentration=2,sell_x,0.5,49.87531172,99.75062344,-24.93765600000031
flashbots-c2,flashbots,concentration=2,sell_x,1,99.502487562,99.502487562,-49.75124380000029
flashbots-c2,flashbots,concentration=2,sell_x,5,487.804878048,97.56097560959999,-243.9024390400002
flashbots-c2,flashbots,concentration=2,sell_x,10,952.38095238,95.238095238,-476.1904762000002
flashbots-c2,flashbots,concentration=2,sell_x,25,2222.222222222,88.88888888887999,-1111.1111111120008
dodo-k200000000000000000,dodo,K=200000000000000000,buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
dodo-k200000000000000000,dodo,K=200000000000000000,buy_x,0.1,0.000999997,100.0003000009,-0.029999999999752447
dodo-k200000000000000000,dodo,K=200000000000000000,buy_x,1,0.009999799,100.00201004040181,-0.20099999999967366
dodo-k200000000000000000,dodo,K=200000000000000000,buy_x,10,0.099979987,100.0200170060034,-2.0012999999985404
dodo-k200000000000000000,dodo,K=200000000000000000,buy_x,50,0.499498497,100.10040130310944,-10.030060000001395
dodo-k200000000000000000,dodo,K=200000000000000000,buy_x,100,0.99798796,100.20160964667349,-20.120399999999925
dodo-k200000000000000000,dodo,K=200000000000000000,buy_x,500,4.948475503,101.04121960326495,-103.04899400000012
dodo-k200000000000000000,dodo,K=200000000000000000,buy_x,1000,9.787617924,102.16990566702879,-212.3820760000017
dodo-k200000000000000000,dodo,K=200000000000000000,buy_x,2500,23.54922126,106.16062299463061,-580.311496
dodo-k200000000000000000,dodo,K=200000000000000000,sell_x,0.0001,0.009999997,99.99996999999999,-0.0030000000006413785
dodo-k200000000000000000,dodo,K=200000000000000000,sell_x,0.001,0.099999799,99.999799,-0.020099999999967366
dodo-k200000000000000000,dodo,K=200000000000000000,sell_x,0.01,0.999979998,99.9979998,-0.20001999999963438
dodo-k200000000000000000,dodo,K=200000000000000000,sell_x,0.1,9.997998799,99.97998798999998,-2.0012010000014513
dodo-k200000000000000000,dodo,K=200000000000000000,sell_x,0.5,49.94984975,99.8996995,-10.030050000000568
dodo-k200000000000000000,dodo,K=200000000000000000,sell_x,1,99.798796014,99.798796014,-20.12039859999981
dodo-k200000000000000000,dodo,K=200000000000000000,sell_x,5,494.847550328,98.9695100656,-103.04899343999918
dodo-k200000000000000000,dodo,K=200000000000000000,sell_x,10,978.761792464,97.8761792464,-212.3820753600003
