strategy,family,parameter,simulations,steps,positive_net_rate,total_net_edge,net_edge_mean,net_edge_p5,net_edge_p50,net_edge_p95,retail_edge_mean,arbitrage_edge_mean,arbitrage_loss_mean,retail_flow_share_mean,retail_notional_mean,arb_count_mean,arb_notional_mean,final_inventory_deviation_mean,max_inventory_deviation_mean,max_inventory_deviation_p95,curve_reverts
dodo-k1000000000000000000,dodo,K=1000000000000000000,1000,10000,0.568,38.34930698328685,0.038349306983286854,-0.43987901700722887,0.012803339218237397,0.540985344502019,499.93582649424627,-499.89747718726323,499.8974771872628,0.7311183409331641,116288.31854183038,2820.159,85860.6313524342,0.00013955232829852563,0.05311678302180574,0.1189750827227948,0
flashbots-c1,flashbots,concentration=1,1000,10000,0.586,45.557312553479136,0.04555731255347913,-0.27647921712571133,0.010783792858745755,0.45778673522943336,500.613522738103,-500.56796542554923,500.5679654255502,0.7258833569774369,115498.16122778975,2827.122,85211.5419301875,0.0000060744420163328236,0.049355516103936264,0.10541045467132434,0
dodo-k500000000000000000,dodo,K=500000000000000000,1000,10000,0.558,35.23426907569454,0.03523426907569454,-0.37166487305688634,0.011273206339865283,0.5165637477911105,408.96879849595206,-408.933564226876,408.9335642268757,0.8546215836183869,136510.8090892012,2432.858,100251.98259564296,0.0001698173595136415,0.06918933729694764,0.15018071229912536,0
flashbots-c2,flashbots,concentration=2,1000,10000,0.563,41.10569157472585,0.04110569157472585,-0.2771952776837736,0.007166232142139961,0.4091801496047083,413.114302412915,-413.0731967213412,413.0731967213408,0.8513025254977237,136024.7222517432,2443.762,99898.8847574832,-0.0000044795080404590525,0.06726730914606024,0.14092690850386858,0
dodo-k200000000000000000,dodo,K=200000000000000000,1000,10000,0.557,21.470410037259263,0.021470410037259264,-0.2479784003230634,0.006919241459627301,0.32264764323446116,247.07516552401432,-247.0536951139767,247.05369511397714,0.9473763382431248,151863.86600648693,1857.108,106259.01225563734,0.00020186277964274026,0.08767361069819089,0.1815938472470495,0
flashbots-c5,flashbots,concentration=5,1000,10000,0.563,30.599214607090317,0.03059921460709032,-0.17458423581865645,0.0058610749313317,0.27621831188685064,250.59672293043624,-250.56612371582938,250.56612371582918,0.9461180902151839,151683.52447532638,1870.269,106264.73004988949,0.00000018232409088349276,0.08756106659230203,0.1737980557454607,0
dodo-k100000000000000000,dodo,K=100000000000000000,1000,10000,0.556,14.535227462303293,0.014535227462303298,-0.17392909552961555,0.003936905125357271,0.21220181304221342,142.7875661610525,-142.77303093359,142.7730309335902,0.9774253130323319,156785.79131470574,1439.982,102458.21033278239,0.00029487418429348876,0.10106013832022095,0.2049552927161362,0
flashbots-c10,flashbots,concentration=10,1000,10000,0.577,17.973760503966947,0.017973760503966946,-0.10517808622125813,0.003659488300911562,0.18488290017839404,144.46620512295578,-144.44823136245225,144.44823136245193,0.9769923155876695,156734.5435954436,1452.862,102609.77175975461,0.000048309099783601433,0.10225440713532173,0.20499763445413094,0
dodo-k50000000000000000,dodo,K=50000000000000000,1000,10000,0.572,8.681187964602037,0.008681187964602039,-0.09614849168555395,0.0026615193470291842,0.11874118090274521,74.31307949805426,-74.30439831008975,74.30439831008974,0.9842858630894584,157894.36221817217,1061.243,93392.09171237679,0.0002858554681024049,0.10823304722216401,0.21825406492957597,0
flashbots-c20,flashbots,concentration=20,1000,10000,0.598,9.93293893194918,0.00993293893194918,-0.06317886482187873,0.0030763871758239247,0.10052263903099856,74.69154036085908,-74.68160742192718,74.68160742192713,0.984203555720282,157885.31536724276,1073.149,93619.12616015955,-0.00008723135300460546,0.10865832992048606,0.22481266716327242,0
