strategy,family,parameter,anchor,metric,full_range_vs_univ2,concentration_effect,total_vs_univ2
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",univ3-full-range-zero-fee,netEdge,0.0041692172758941975,-397.59930810445434,-397.59513888717845
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",univ3-full-range-zero-fee,retailEdge,-0.007258271699564674,-91.92534009692376,-91.9325983686232
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",univ3-full-range-zero-fee,arbitrageEdge,0.01142748897546025,-305.67396800753085,-305.6625405185554
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",univ3-full-range-zero-fee,netEdge,0.0041692172758941975,-1174.6783064698577,-1174.6741372525812
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",univ3-full-range-zero-fee,retailEdge,-0.007258271699564674,-280.2359961291196,-280.2432544008194
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",univ3-full-range-zero-fee,arbitrageEdge,0.01142748897546025,-894.442310340739,-894.4308828517637
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",univ3-full-range-zero-fee,netEdge,0.0041692172758941975,-1662.982346599287,-1662.978177382011
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",univ3-full-range-zero-fee,retailEdge,-0.007258271699564674,-386.3359541869468,-386.3432124586462
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",univ3-full-range-zero-fee,arbitrageEdge,0.01142748897546025,-1276.6463924123402,-1276.6349649233653
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",univ3-full-range-zero-fee,netEdge,0.0041692172758941975,-2006.5933764943384,-2006.5892072770641
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",univ3-full-range-zero-fee,retailEdge,-0.007258271699564674,-429.8081955166529,-429.8154537883532
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",univ3-full-range-zero-fee,arbitrageEdge,0.01142748897546025,-1576.785180977689,-1576.7737534887133
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",univ3-full-range-zero-fee,netEdge,0.0041692172758941975,-2269.3608017663905,-2269.3566325491165
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",univ3-full-range-zero-fee,retailEdge,-0.007258271699564674,-435.8612306689045,-435.86848894060415
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",univ3-full-range-zero-fee,arbitrageEdge,0.01142748897546025,-1833.4995710974888,-1833.488143608515
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",univ3-full-range-zero-fee,netEdge,0.0041692172758941975,-2350.6837734505493,-2350.679604233277
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",univ3-full-range-zero-fee,retailEdge,-0.007258271699564674,-429.79163861505634,-429.79889688675513
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",univ3-full-range-zero-fee,arbitrageEdge,0.01142748897546025,-1920.8921348354947,-1920.8807073465193
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",univ3-full-range-zero-fee,netEdge,0.0041692172758941975,-2406.3788557760286,-2406.374686558748
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",univ3-full-range-zero-fee,retailEdge,-0.007258271699564674,-412.9354960518707,-412.9427543235701
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",univ3-full-range-zero-fee,arbitrageEdge,0.01142748897546025,-1993.443359724156,-1993.4319322351796
