strategy,family,parameter,anchor,metric,oracle_system_advantage,curve_shape_effect,total_vs_univ2
dodo-k1000000000000000000,dodo,K=1000000000000000000,dodo-k1000000000000000000,netEdge,398.8822965220693,0,398.8822965220693
dodo-k1000000000000000000,dodo,K=1000000000000000000,dodo-k1000000000000000000,retailEdge,11.397987567532356,0,11.397987567532356
dodo-k1000000000000000000,dodo,K=1000000000000000000,dodo-k1000000000000000000,arbitrageEdge,387.48430895453674,0,387.48430895453674
flashbots-c1,flashbots,concentration=1,flashbots-c1,netEdge,398.90742101895154,0,398.90742101895154
flashbots-c1,flashbots,concentration=1,flashbots-c1,retailEdge,64.47888724984766,0,64.47888724984766
flashbots-c1,flashbots,concentration=1,flashbots-c1,arbitrageEdge,334.42853376910375,0,334.42853376910375
dodo-k500000000000000000,dodo,K=500000000000000000,dodo-k1000000000000000000,netEdge,398.8822965220693,-0.06087397225331318,398.8214225498157
dodo-k500000000000000000,dodo,K=500000000000000000,dodo-k1000000000000000000,retailEdge,11.397987567532356,-675.3744449829974,-663.9764574154663
dodo-k500000000000000000,dodo,K=500000000000000000,dodo-k1000000000000000000,arbitrageEdge,387.48430895453674,675.3135710107448,1062.7978799652808
flashbots-c2,flashbots,concentration=2,flashbots-c1,netEdge,398.90742101895154,-0.0741715211836017,398.8332494977678
flashbots-c2,flashbots,concentration=2,flashbots-c1,retailEdge,64.47888724984766,-712.873105341756,-648.3942180919092
flashbots-c2,flashbots,concentration=2,flashbots-c1,arbitrageEdge,334.42853376910375,712.7989338205737,1047.227467589676
dodo-k200000000000000000,dodo,K=200000000000000000,dodo-k1000000000000000000,netEdge,398.8822965220693,-0.09985060634858803,398.7824459157213
dodo-k200000000000000000,dodo,K=200000000000000000,dodo-k1000000000000000000,retailEdge,11.397987567532356,-1103.7149174326619,-1092.3169298651324
dodo-k200000000000000000,dodo,K=200000000000000000,dodo-k1000000000000000000,arbitrageEdge,387.48430895453674,1103.6150668263147,1491.099375780852
flashbots-c5,flashbots,concentration=5,flashbots-c1,netEdge,398.90742101895154,-0.12045144405262867,398.78696957489854
flashbots-c5,flashbots,concentration=5,flashbots-c1,retailEdge,64.47888724984766,-1154.1907334157431,-1089.7118461658958
flashbots-c5,flashbots,concentration=5,flashbots-c1,arbitrageEdge,334.42853376910375,1154.070281971691,1488.4988157407947
dodo-k100000000000000000,dodo,K=100000000000000000,dodo-k1000000000000000000,netEdge,398.8822965220693,-0.11296727894093914,398.76932924312825
