strategy,family,parameter,simulations,steps,positive_net_rate,total_net_edge,net_edge_mean,net_edge_p5,net_edge_p50,net_edge_p95,retail_edge_mean,arbitrage_edge_mean,arbitrage_loss_mean,retail_flow_share_mean,retail_notional_mean,arb_count_mean,arb_notional_mean,final_inventory_deviation_mean,max_inventory_deviation_mean,max_inventory_deviation_p95,curve_reverts
dodo-k1000000000000000000,dodo,K=1000000000000000000,1000,10000,0.538,128.90612467057346,0.12890612467057344,-1.3816777042720787,0.024686388341422116,1.8404594707467368,1401.6385232570033,-1401.5096171323328,1401.5096171323332,1,160263.9496206256,3141.914,127013.59525132428,0.00014311947917707552,0.10392004348876793,0.20950425430545494,0
flashbots-c1,flashbots,concentration=1,1000,10000,0.537,154.03062155249356,0.15403062155249356,-1.133155086059105,0.017893532234324994,1.7608416073228454,1454.7194229393194,-1454.5653923177667,1454.5653923177656,1,160263.9496206256,3157.6,127037.05911455429,-0.000020543106323273732,0.10378653344004701,0.20949653479648817,0
dodo-k500000000000000000,dodo,K=500000000000000000,1000,10000,0.538,68.03215241726028,0.06803215241726025,-0.80323126139848,0.011498449409486966,1.0679719851946174,726.264078274005,-726.196046121588,726.1960461215876,1,160263.9496206256,2618.32,122693.08289040235,0.0001590170612303805,0.1063826715607777,0.21507968814755785,0
flashbots-c2,flashbots,concentration=2,1000,10000,0.543,79.85910036889186,0.07985910036889186,-0.6113112118840718,0.008904768536694974,0.9246881287576798,741.8463175975617,-741.7664584971944,741.7664584971936,1,160263.9496206256,2634.745,122785.53966264313,-0.00003300217981618823,0.10654611642483512,0.21475796134773673,0
dodo-k200000000000000000,dodo,K=200000000000000000,1000,10000,0.546,29.05551832198544,0.029055518321985444,-0.36363486473464945,0.0060997937154922965,0.49602239751641264,297.9236058243398,-297.8945503060176,297.8945503060177,1,160263.9496206256,1942.017,113901.57069224543,0.000210963467802279,0.1083737033780596,0.22142966353951138,0
flashbots-c5,flashbots,concentration=5,1000,10000,0.551,33.57917749986486,0.03357917749986486,-0.2565290254995034,0.004811093276899214,0.38111054066254724,300.5286895235748,-300.495110346075,300.495110346075,1,160263.9496206256,1958.706,114081.30673335271,-0.00001657732046515828,0.10850315625374485,0.21987293556880388,0
dodo-k100000000000000000,dodo,K=100000000000000000,1000,10000,0.556,15.938845729634348,0.015938845729634346,-0.1886581512356429,0.003963671524331858,0.24947448782393167,150.3951787691867,-150.37923992345708,150.37923992345705,1,160263.9496206256,1478.842,105097.03565352083,0.00026255515811693446,0.10916646887680329,0.22173237991773448,0
flashbots-c10,flashbots,concentration=10,1000,10000,0.567,17.760177621856805,0.017760177621856804,-0.12815096166792728,0.0036874536681636982,0.19443266044251573,150.98381366192913,-150.96605348430728,150.96605348430725,1,160263.9496206256,1493.923,105327.51667429297,-0.000003735668754758101,0.10922951636640091,0.22340662527410857,0
dodo-k50000000000000000,dodo,K=50000000000000000,1000,10000,0.566,9.077175999225016,0.009077175999225017,-0.09941562427177075,0.0029364477902547037,0.12648624056126323,75.56787773154046,-75.55880055554142,75.55880055554137,1,160263.9496206256,1080.216,94718.04529766618,0.00028660757672421534,0.1096739794041876,0.22314570324188665,0
flashbots-c20,flashbots,concentration=20,1000,10000,0.606,10.162668726353488,0.010162668726353487,-0.0647079136390829,0.0033282153664941916,0.09891362244108848,75.62841999935131,-75.61825733062497,75.61825733062493,1,160263.9496206256,1092.75,94950.00771285724,-0.00010123551254362294,0.10969530595835131,0.2242738402644686,0
dodo-k20000000000000000,dodo,K=20000000000000000,1000,10000,0.605,4.757796456257171,0.00475779645625717,-0.03912911592968271,0.0021479640366770525,0.05360806806407936,30.346037525732395,-30.341279729276064,30.341279729276135,1,160263.9496206256,668.238,79451.26223961887,0.0005952456895669824,0.11023798288632154,0.22962635571134654,0
flashbots-c50,flashbots,concentration=50,1000,10000,0.639,5.460071952447064,0.005460071952447063,-0.02450673494873712,0.0025900870144024424,0.04247956058842561,30.308079338564895,-30.302619266612467,30.302619266612414,1,160263.9496206256,677.645,79722.15162879364,0.000021700019970212813,0.11009423166282145,0.22474857303815043,0
dodo-k10000000000000000,dodo,K=10000000000000000,1000,10000,0.645,3.5869551460380387,0.0035869551460380386,-0.019021817043165967,0.002066680780011154,0.02823265074477188,15.190648105678305,-15.187061150532276,15.187061150532264,1,160263.9496206256,443.511,67506.22171890823,0.0004856579775355624,0.11055189960077366,0.23012544122411654,0
flashbots-c100,flashbots,concentration=100,1000,10000,0.704,3.8660473346561792,0.003866047334656179,-0.010822832785837733,0.0021620923799758884,0.023961784653387497,15.15157179082932,-15.147705743494654,15.147705743494665,1,160263.9496206256,449.97,67739.29525149154,-0.0000036498694690272546,0.11040121677592613,0.2269707780407714,0
dodo-k1000000000000000,dodo,K=1000000000000000,1000,10000,0.78,2.021751204145873,0.0020217512041458725,-0.0030008057561985435,0.0014630335359129276,0.008784350161977983,1.5345532242204367,-1.5325314730162918,1.5325314730162898,1,160263.9496206256,87.43,33009.169369507974,0.0020631407133178503,0.11560266910310978,0.2301379210818034,0
flashbots-c1000,flashbots,concentration=1000,1000,10000,0.852,2.4414173194225905,0.002441417319422588,-0.0014787611184590155,0.0017531446734468936,0.008109895871788675,1.5133555071976545,-1.5109140898782285,1.5109140898782312,1,160263.9496206256,87.784,32939.44400657733,-0.0002442974490074539,0.11479192246822838,0.226055159645951,0
univ2-zero-fee,univ2,fee=0,1000,10000,0.001,-398753.39039739803,-398.7533903973986,-1099.750521738914,-295.67221728182267,-4.66243690892793,1390.24053568947,-1788.99392608687,1788.99392608687,1,160263.9496206256,6076.897,216571.90693495196,0.06062788550072022,0.2708179303243209,0.6593823238508011,0
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",1000,10000,0.001,-398755.252842948,-398.7552528429482,-1099.5558531802576,-295.4835779752459,-4.662799143786742,1390.2420501645927,-1788.9973030075457,1788.9973030075423,1,160263.9496206256,6076.796,216571.2709352511,0.06062789331311543,0.27081688379303265,0.659382088275577,0
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",1000,10000,0.001,-796475.8492335415,-796.4758492335415,-2226.4998809947956,-587.9365745370021,-9.792349347482968,716.7231420517979,-1513.1989912853387,1513.1989912853396,1,160199.98884850446,6526.437,330943.76999981294,0.11985055068027793,0.4854346312664272,1.2295540378488699,0
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",1000,10000,0,-1573029.0812534129,-1573.029081253414,-4473.38497406504,-1215.1825214002827,-25.4465594868429,1739.4027975136355,-3312.4318787670527,3312.431878767048,1,151259.09463599065,6637.712,598016.0841855073,0.17632186208106124,0.8119174156308205,1.2499941789684486,0
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",1000,10000,0,-2060918.9495583763,-2060.918949558377,-6049.52327405563,-1451.2607130719657,-50.95665942589022,4407.383985276472,-6468.302934834848,6468.302934834848,1,136865.5887916004,6089.044,812661.2383532126,0.17130028984479476,0.927154427514991,1.1110936388270156,0
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",1000,10000,0,-2404118.2894600607,-2404.11828946006,-7269.3354524951055,-1580.7509515518423,-94.04645187359282,6944.700537164048,-9348.818826624121,9348.818826624105,1,121639.19884151497,5379.918,1001415.7991197638,0.15536582878905453,0.9789122570096458,1.0526360002915742,0
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",1000,10000,0,-2666626.682972714,-2666.62668297271,-8325.266887775486,-1830.7642223208848,-125.55588404670198,9218.83745645008,-11885.464139422804,11885.464139422795,1,105337.96092843518,4529.656,1177803.9798156684,0.1321948428435111,0.9998846834773997,1.0204044276834543,0
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",1000,10000,0,-2747732.3566933433,-2747.7323566933387,-8649.274262478579,-1904.4602029004527,-105.49253907046659,10186.75271631405,-12934.485073007392,12934.485073007383,1,97134.6892969898,4073.396,1255794.9765623643,0.11945839176704612,1.0045726530635408,1.0101002162236068,0
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",1000,10000,0,-2803340.917838458,-2803.3409178384613,-9039.846724607063,-1887.7486085160463,-112.19406539432384,11201.547991866228,-14004.888909704687,14004.88890970469,1,86310.3053162763,3465.263,1344268.6518388095,0.11561574911034929,1.0009824727415708,1.0010004986932375,0
