strategy,family,parameter,anchor,metric,full_range_vs_univ2,concentration_effect,total_vs_univ2
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",univ3-full-range-zero-fee,netEdge,-0.0018624455490833327,-397.7205963905938,-397.72245883614227
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",univ3-full-range-zero-fee,retailEdge,0.0015144751235679906,-673.5189081127962,-673.5173936376724
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",univ3-full-range-zero-fee,arbitrageEdge,-0.003376920672652318,275.7983117222036,275.7949348015305
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",univ3-full-range-zero-fee,netEdge,-0.0018624455490833327,-1174.2738284104646,-1174.2756908560145
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",univ3-full-range-zero-fee,retailEdge,0.0015144751235679906,349.16074734904106,349.1622618241643
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",univ3-full-range-zero-fee,arbitrageEdge,-0.003376920672652318,-1523.434575759506,-1523.437952680177
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",univ3-full-range-zero-fee,netEdge,-0.0018624455490833327,-1662.1636967154252,-1662.1655591609772
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",univ3-full-range-zero-fee,retailEdge,0.0015144751235679906,3017.1419351118802,3017.1434495869994
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",univ3-full-range-zero-fee,arbitrageEdge,-0.003376920672652318,-4679.305631827301,-4679.309008747979
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",univ3-full-range-zero-fee,netEdge,-0.0018624455490833327,-2005.3630366171133,-2005.3648990626614
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",univ3-full-range-zero-fee,retailEdge,0.0015144751235679906,5554.458486999452,5554.460001474585
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",univ3-full-range-zero-fee,arbitrageEdge,-0.003376920672652318,-7559.821523616562,-7559.824900537232
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",univ3-full-range-zero-fee,netEdge,-0.0018624455490833327,-2267.8714301297637,-2267.873292575318
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",univ3-full-range-zero-fee,retailEdge,0.0015144751235679906,7828.595406285497,7828.5969207606195
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",univ3-full-range-zero-fee,arbitrageEdge,-0.003376920672652318,-10096.46683641525,-10096.470213335917
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",univ3-full-range-zero-fee,netEdge,-0.0018624455490833327,-2348.9771038503886,-2348.9789662959406
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",univ3-full-range-zero-fee,retailEdge,0.0015144751235679906,8796.51066614944,8796.512180624584
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",univ3-full-range-zero-fee,arbitrageEdge,-0.003376920672652318,-11145.487769999841,-11145.491146920514
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",univ3-full-range-zero-fee,netEdge,-0.0018624455490833327,-2404.585664995515,-2404.5875274410637
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",univ3-full-range-zero-fee,retailEdge,0.0015144751235679906,9811.305941701637,9811.307456176768
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",univ3-full-range-zero-fee,arbitrageEdge,-0.003376920672652318,-12215.89160669714,-12215.894983617818
