treatment,baseline,metric,samples,mean,p5,p50,p95,std_error,ci95_low,ci95_high,t_stat,paired_win_rate,significant_95
dodo-k1000000000000000000,univ2-zero-fee,netEdge,1000,398.8822965220693,4.584565567030268,295.0644895831215,1099.3473718384253,11.725236871820746,375.9012545430995,421.86333850103904,34.01912480597325,0.999,true
dodo-k1000000000000000000,univ2-zero-fee,retailEdge,1000,11.397987567532356,-13.740493067324678,2.988666448619256,73.60893162050616,1.0840577795571067,9.273273362439966,13.522701772624746,10.514188249439083,0.658,true
dodo-k1000000000000000000,univ2-zero-fee,arbitrageEdge,1000,387.48430895453674,3.8345633258472844,279.45259113509303,1090.112179630377,11.506727260223444,364.93153794457356,410.0370799644999,33.674588802847175,0.987,true
flashbots-c1,univ2-zero-fee,netEdge,1000,398.90742101895154,4.605439604120647,295.2425688412409,1098.4659873702076,11.726544082352953,375.92381695441844,421.89102508348464,34.01747507343272,0.999,true
flashbots-c1,univ2-zero-fee,retailEdge,1000,64.47888724984766,-176.9099542664719,8.535630750875953,456.6128366657308,6.98569066607553,50.787185137202,78.17058936249332,9.230137767619055,0.561,true
flashbots-c1,univ2-zero-fee,arbitrageEdge,1000,334.42853376910375,-77.73696340227798,206.4812776358907,1178.76153143796,13.326303472957958,308.30945891505513,360.54760862315237,25.095371304408143,0.862,true
dodo-k500000000000000000,univ2-zero-fee,netEdge,1000,398.8214225498157,4.595178260911354,295.03943544598314,1099.2026640649178,11.72627412432895,375.838347593287,421.8044975063444,34.010924384103006,0.999,true
dodo-k500000000000000000,univ2-zero-fee,retailEdge,1000,-663.9764574154663,-1412.5325447988096,-578.3950621397448,-204.66708908856907,11.675297929664273,-686.8596208663832,-641.0932939645493,-56.87019392699636,0,true
dodo-k500000000000000000,univ2-zero-fee,arbitrageEdge,1000,1062.7978799652808,336.5421592445357,998.9482098442691,2056.901143478451,16.439353292741906,1030.5773395823767,1095.018420348185,64.64961613998003,1,true
flashbots-c2,univ2-zero-fee,netEdge,1000,398.8332494977678,4.608082846147113,295.1213391051492,1098.7441852285556,11.727202634832564,375.84835469409273,421.8181443014428,34.00924004784728,0.999,true
flashbots-c2,univ2-zero-fee,retailEdge,1000,-648.3942180919092,-1365.9058876769404,-562.942676500692,-196.16758242400047,11.38566844117606,-670.7097181765287,-626.0787180072898,-56.94827856983816,0,true
flashbots-c2,univ2-zero-fee,arbitrageEdge,1000,1047.227467589676,341.68797517545016,983.0633992222904,1995.7140526052203,16.188944645447332,1015.4977191368868,1078.9572160424655,64.68781569922646,1,true
dodo-k200000000000000000,univ2-zero-fee,netEdge,1000,398.7824459157213,4.605264821512634,294.98211334231996,1099.1252629685232,11.72720714031363,375.79754228146567,421.767349549977,34.00489486920211,0.999,true
