contract,address,runtimeCodeSize,runtimeCodeHash,note
TestToken,0x5615dEB798BB3E4dFa0139dFa1b3D433Cc23b72f,1634,0x3bf3d6d196134e6d841d22ae8ddb033181df908a63f8ea904b5bf8da9822d39d,"the ONE token traded by every layer C pool"
UniswapV2Pair,0x5991A2dF15A8F6A256D3Ec51E99254Cd3fb576A9,11293,0xfeb8a9c5366cde4a516013dd1c283cd79e0bcd61767eb181716d11ca54f492ef,"canonical-v2-30bps, unmodified upstream v1.0.1"
UniswapV2PairZeroFee,0xc7183455a4C133Ae270771860664b6B7ec320bB1,11271,0xf23e75b07ff8fac75037a59c79747f1f1467c9da2817281469617e3e63175c62,"modified-v2-zero-fee; differs from the row above by patches/uniswap-v2-pair-zero-fee.patch only"
UniswapV3Pool(fee=0),0x5E47Cfc8c4BDAEDfa818096cA02085dc544946db,22142,0xc50e75d937155e36766a84000c45f2dda4afe134ff601b1101e64787343a3601,"real unmodified v3-core pool, fee 0 tickSpacing 60"
UniswapV3Pool(fee=3000),0xEd6D49153C107fCD9018743B196791696c3b1845,22142,0x2ecf9f89ff70fd77e3bd173332b677e2a647196993db23599c56c6f2dc50998b,"real unmodified v3-core pool, canonical 0.30% tier"
UniswapV3Factory,0x3D7Ebc40AF7092E3F1C81F2e996cbA5Cae2090d7,24535,0x93d0ea002e9e91c36e1a27608a2bef28515654c67ad76acdbb9eae19b76ea4f6,"real unmodified v3-core factory"
ExamplePropAmm,0x13aa49bAc059d709dd0a18D6bb63290076a702D7,7667,0x8be399f44433140b15454c3c261d55de8267e75be10b961cf17befd09c7bf6be,"real unmodified flashbots prop AMM"
PrioUpdateRegistry,0x96d3F6c20EEd2697647F543fE6C08bC2Fbf39758,3941,0xb704f72b6dd2c1f673b2269b71af5a2d3ae9e29169bf1537ce8f202d5be73d38,"real unmodified flashbots registry"
DodoPool,0xD16d567549A2a2a2005aEACf7fB193851603dd70,4586,0xbc6bb8a2597f5b131a128c62c8c4088c1ac8da66427b0b1e266c73305f67d1fb,"HARNESS-AUTHORED minimal pool around the pinned PMMPricing library"
EndToEndRunner,0xF62849F9A0B5Bf2913b396098F7c7019b51A820a,3305,0x467bc20c0a2e4647fc93356e9d6f6b7b98770a897852b5e3403daa1f578f9036,"the layer C trader"
TokenSink,0x4f81992FCe2E1846dD528eC0102e6eE1f61ed3e2,307,0x9a76f87b0889eb55fd208266fc1677f5c7d902bf21d300c2504f25303ead6b2c,"counterparty for the token-only control"
