algorithm,layer,operation,direction,state,tradeSize,tickCrossings,coldGas,warmGas,rawGas,nullTwinGas,adjustedGas,gasRefunded,compilerConfig,sourceCommit,note
dodo,A,quote,sell-base,balanced,0.01%,0,0,0,25169,1651,23518,0,solc=0.8.28;opt=on;runs=200;viaIR=off;evmTarget=prague;bytecodeHash=none,DODOEX/contractV2@8da3ee1ec50966fca9a2c80d424040c45c0f785e via mantle-propamm-contracts@07f6797,"STATICCALL; state+oracle arrive as CALLDATA, never storage"
dodo,A,quote,sell-base,balanced,0.1%,0,0,0,25093,1651,23442,0,solc=0.8.28;opt=on;runs=200;viaIR=off;evmTarget=prague;bytecodeHash=none,DODOEX/contractV2@8da3ee1ec50966fca9a2c80d424040c45c0f785e via mantle-propamm-contracts@07f6797,"STATICCALL; state+oracle arrive as CALLDATA, never storage"
dodo,A,quote,sell-base,balanced,1%,0,0,0,25093,1651,23442,0,solc=0.8.28;opt=on;runs=200;viaIR=off;evmTarget=prague;bytecodeHash=none,DODOEX/contractV2@8da3ee1ec50966fca9a2c80d424040c45c0f785e via mantle-propamm-contracts@07f6797,"STATICCALL; state+oracle arrive as CALLDATA, never storage"
dodo,A,quote,sell-base,balanced,5%,0,0,0,25169,1651,23518,0,solc=0.8.28;opt=on;runs=200;viaIR=off;evmTarget=prague;bytecodeHash=none,DODOEX/contractV2@8da3ee1ec50966fca9a2c80d424040c45c0f785e via mantle-propamm-contracts@07f6797,"STATICCALL; state+oracle arrive as CALLDATA, never storage"
dodo,A,quote,sell-base,balanced,10%,0,0,0,25093,1651,23442,0,solc=0.8.28;opt=on;runs=200;viaIR=off;evmTarget=prague;bytecodeHash=none,DODOEX/contractV2@8da3ee1ec50966fca9a2c80d424040c45c0f785e via mantle-propamm-contracts@07f6797,"STATICCALL; state+oracle arrive as CALLDATA, never storage"
dodo,A,quote,sell-base,off-target,0.01%,0,0,0,43003,1651,41352,0,solc=0.8.28;opt=on;runs=200;viaIR=off;evmTarget=prague;bytecodeHash=none,DODOEX/contractV2@8da3ee1ec50966fca9a2c80d424040c45c0f785e via mantle-propamm-contracts@07f6797,"STATICCALL; state+oracle arrive as CALLDATA, never storage"
dodo,A,quote,sell-base,off-target,0.1%,0,0,0,43003,1651,41352,0,solc=0.8.28;opt=on;runs=200;viaIR=off;evmTarget=prague;bytecodeHash=none,DODOEX/contractV2@8da3ee1ec50966fca9a2c80d424040c45c0f785e via mantle-propamm-contracts@07f6797,"STATICCALL; state+oracle arrive as CALLDATA, never storage"
dodo,A,quote,sell-base,off-target,1%,0,0,0,43003,1651,41352,0,solc=0.8.28;opt=on;runs=200;viaIR=off;evmTarget=prague;bytecodeHash=none,DODOEX/contractV2@8da3ee1ec50966fca9a2c80d424040c45c0f785e via mantle-propamm-contracts@07f6797,"STATICCALL; state+oracle arrive as CALLDATA, never storage"
dodo,A,quote,sell-base,off-target,5%,0,0,0,43003,1651,41352,0,solc=0.8.28;opt=on;runs=200;viaIR=off;evmTarget=prague;bytecodeHash=none,DODOEX/contractV2@8da3ee1ec50966fca9a2c80d424040c45c0f785e via mantle-propamm-contracts@07f6797,"STATICCALL; state+oracle arrive as CALLDATA, never storage"
dodo,A,quote,sell-base,off-target,10%,0,0,0,42927,1651,41276,0,solc=0.8.28;opt=on;runs=200;viaIR=off;evmTarget=prague;bytecodeHash=none,DODOEX/contractV2@8da3ee1ec50966fca9a2c80d424040c45c0f785e via mantle-propamm-contracts@07f6797,"STATICCALL; state+oracle arrive as CALLDATA, never storage"
dodo,A,quote,buy-base,balanced,0.01%,0,0,0,23435,1651,21784,0,solc=0.8.28;opt=on;runs=200;viaIR=off;evmTarget=prague;bytecodeHash=none,DODOEX/contractV2@8da3ee1ec50966fca9a2c80d424040c45c0f785e via mantle-propamm-contracts@07f6797,"STATICCALL; state+oracle arrive as CALLDATA, never storage"
