algorithm,operation,accessKind,slot
dodo,stateUpdate-algorithmOracle,read,5
dodo,stateUpdate-algorithmOracle,read,4
dodo,stateUpdate-algorithmOracle,read,0
dodo,stateUpdate-algorithmOracle,read,1
dodo,stateUpdate-algorithmOracle,read,2
dodo,stateUpdate-algorithmOracle,read,3
dodo,stateUpdate-algorithmOracle,read,0
dodo,stateUpdate-algorithmOracle,read,1
dodo,stateUpdate-algorithmOracle,read,2
dodo,stateUpdate-algorithmOracle,read,4
dodo,stateUpdate-algorithmOracle,write,0
dodo,stateUpdate-algorithmOracle,write,1
dodo,stateUpdate-algorithmOracle,write,2
dodo,stateUpdate-algorithmOracle,write,4
dodo,stateUpdate-algorithmOracle,read,5
dodo,stateUpdate-algorithmOracle,read,4
dodo,stateUpdate-algorithmOracle,read,0
dodo,stateUpdate-algorithmOracle,read,1
dodo,stateUpdate-algorithmOracle,read,2
dodo,stateUpdate-algorithmOracle,read,3
dodo,stateUpdate-algorithmOracle,read,0
dodo,stateUpdate-algorithmOracle,read,1
dodo,stateUpdate-algorithmOracle,write,0
dodo,stateUpdate-algorithmOracle,write,1
dodo,stateUpdate-algorithmOracle,read,5
dodo,stateUpdate-algorithmOracle,read,4
dodo,stateUpdate-algorithmOracle,read,0
dodo,stateUpdate-algorithmOracle,read,1
dodo,stateUpdate-algorithmOracle,read,2
dodo,stateUpdate-algorithmOracle,read,3
dodo,stateUpdate-algorithmOracle,read,0
dodo,stateUpdate-algorithmOracle,read,1
dodo,stateUpdate-algorithmOracle,read,3
dodo,stateUpdate-algorithmOracle,read,4
dodo,stateUpdate-algorithmOracle,write,0
dodo,stateUpdate-algorithmOracle,write,1
dodo,stateUpdate-algorithmOracle,write,3
dodo,stateUpdate-algorithmOracle,write,4
dodo,stateUpdate-algorithmOracle,read,5
dodo,stateUpdate-algorithmOracle,read,4
dodo,stateUpdate-algorithmOracle,read,0
dodo,stateUpdate-algorithmOracle,read,1
dodo,stateUpdate-algorithmOracle,read,2
dodo,stateUpdate-algorithmOracle,read,3
dodo,stateUpdate-algorithmOracle,read,0
dodo,stateUpdate-algorithmOracle,read,1
dodo,stateUpdate-algorithmOracle,write,0
dodo,stateUpdate-algorithmOracle,write,1
dodo,stateUpdate-referenceOracle,read,4
dodo,stateUpdate-referenceOracle,read,0
dodo,stateUpdate-referenceOracle,read,1
dodo,stateUpdate-referenceOracle,read,2
dodo,stateUpdate-referenceOracle,read,3
dodo,stateUpdate-referenceOracle,read,0
dodo,stateUpdate-referenceOracle,read,1
dodo,stateUpdate-referenceOracle,read,2
dodo,stateUpdate-referenceOracle,read,4
dodo,stateUpdate-referenceOracle,write,0
dodo,stateUpdate-referenceOracle,write,1
dodo,stateUpdate-referenceOracle,write,2
dodo,stateUpdate-referenceOracle,write,4
dodo,stateUpdate-referenceOracle,read,4
dodo,stateUpdate-referenceOracle,read,0
dodo,stateUpdate-referenceOracle,read,1
dodo,stateUpdate-referenceOracle,read,2
dodo,stateUpdate-referenceOracle,read,3
dodo,stateUpdate-referenceOracle,read,0
dodo,stateUpdate-referenceOracle,read,1
dodo,stateUpdate-referenceOracle,write,0
dodo,stateUpdate-referenceOracle,write,1
dodo,stateUpdate-referenceOracle,read,4
dodo,stateUpdate-referenceOracle,read,0
dodo,stateUpdate-referenceOracle,read,1
dodo,stateUpdate-referenceOracle,read,2
dodo,stateUpdate-referenceOracle,read,3
dodo,stateUpdate-referenceOracle,read,0
dodo,stateUpdate-referenceOracle,read,1
dodo,stateUpdate-referenceOracle,read,3
dodo,stateUpdate-referenceOracle,read,4
dodo,stateUpdate-referenceOracle,write,0
dodo,stateUpdate-referenceOracle,write,1
dodo,stateUpdate-referenceOracle,write,3
dodo,stateUpdate-referenceOracle,write,4
dodo,stateUpdate-referenceOracle,read,4
dodo,stateUpdate-referenceOracle,read,0
dodo,stateUpdate-referenceOracle,read,1
dodo,stateUpdate-referenceOracle,read,2
dodo,stateUpdate-referenceOracle,read,3
dodo,stateUpdate-referenceOracle,read,0
dodo,stateUpdate-referenceOracle,read,1
dodo,stateUpdate-referenceOracle,write,0
dodo,stateUpdate-referenceOracle,write,1
flashbots,stateUpdate-algorithmOracle,read,0
flashbots,stateUpdate-algorithmOracle,read,2
flashbots,stateUpdate-algorithmOracle,read,3
flashbots,stateUpdate-algorithmOracle,read,0
flashbots,stateUpdate-algorithmOracle,read,0
flashbots,stateUpdate-algorithmOracle,read,1
flashbots,stateUpdate-algorithmOracle,read,1
flashbots,stateUpdate-algorithmOracle,write,0
flashbots,stateUpdate-algorithmOracle,write,1
flashbots,stateUpdate-algorithmOracle,read,0
flashbots,stateUpdate-algorithmOracle,read,2
flashbots,stateUpdate-algorithmOracle,read,3
flashbots,stateUpdate-algorithmOracle,read,0
flashbots,stateUpdate-algorithmOracle,read,0
flashbots,stateUpdate-algorithmOracle,read,1
flashbots,stateUpdate-algorithmOracle,read,1
flashbots,stateUpdate-algorithmOracle,write,0
flashbots,stateUpdate-algorithmOracle,write,1
flashbots,stateUpdate-algorithmOracle,read,0
flashbots,stateUpdate-algorithmOracle,read,2
flashbots,stateUpdate-algorithmOracle,read,3
flashbots,stateUpdate-algorithmOracle,read,1
flashbots,stateUpdate-algorithmOracle,read,1
flashbots,stateUpdate-algorithmOracle,read,0
flashbots,stateUpdate-algorithmOracle,read,0
flashbots,stateUpdate-algorithmOracle,write,1
flashbots,stateUpdate-algorithmOracle,write,0
flashbots,stateUpdate-algorithmOracle,read,0
flashbots,stateUpdate-algorithmOracle,read,2
flashbots,stateUpdate-algorithmOracle,read,3
flashbots,stateUpdate-algorithmOracle,read,1
flashbots,stateUpdate-algorithmOracle,read,1
flashbots,stateUpdate-algorithmOracle,read,0
flashbots,stateUpdate-algorithmOracle,read,0
flashbots,stateUpdate-algorithmOracle,write,1
flashbots,stateUpdate-algorithmOracle,write,0
flashbots,stateUpdate-referenceOracle,read,2
flashbots,stateUpdate-referenceOracle,read,1
flashbots,stateUpdate-referenceOracle,read,0
flashbots,stateUpdate-referenceOracle,read,4
flashbots,stateUpdate-referenceOracle,read,4
flashbots,stateUpdate-referenceOracle,read,4
flashbots,stateUpdate-referenceOracle,read,5
flashbots,stateUpdate-referenceOracle,read,3
flashbots,stateUpdate-referenceOracle,read,0
flashbots,stateUpdate-referenceOracle,read,2
flashbots,stateUpdate-referenceOracle,read,3
flashbots,stateUpdate-referenceOracle,read,0
flashbots,stateUpdate-referenceOracle,read,0
flashbots,stateUpdate-referenceOracle,read,1
flashbots,stateUpdate-referenceOracle,read,1
flashbots,stateUpdate-referenceOracle,write,4
flashbots,stateUpdate-referenceOracle,write,3
flashbots,stateUpdate-referenceOracle,write,0
flashbots,stateUpdate-referenceOracle,write,1
flashbots,stateUpdate-referenceOracle,read,2
flashbots,stateUpdate-referenceOracle,read,1
flashbots,stateUpdate-referenceOracle,read,0
flashbots,stateUpdate-referenceOracle,read,4
flashbots,stateUpdate-referenceOracle,read,4
flashbots,stateUpdate-referenceOracle,read,4
flashbots,stateUpdate-referenceOracle,read,5
flashbots,stateUpdate-referenceOracle,read,3
flashbots,stateUpdate-referenceOracle,read,0
flashbots,stateUpdate-referenceOracle,read,2
flashbots,stateUpdate-referenceOracle,read,3
flashbots,stateUpdate-referenceOracle,read,0
flashbots,stateUpdate-referenceOracle,read,0
flashbots,stateUpdate-referenceOracle,read,1
flashbots,stateUpdate-referenceOracle,read,1
flashbots,stateUpdate-referenceOracle,write,4
flashbots,stateUpdate-referenceOracle,write,3
flashbots,stateUpdate-referenceOracle,write,0
flashbots,stateUpdate-referenceOracle,write,1
flashbots,stateUpdate-referenceOracle,read,2
flashbots,stateUpdate-referenceOracle,read,1
flashbots,stateUpdate-referenceOracle,read,0
flashbots,stateUpdate-referenceOracle,read,4
flashbots,stateUpdate-referenceOracle,read,4
flashbots,stateUpdate-referenceOracle,read,4
flashbots,stateUpdate-referenceOracle,read,5
flashbots,stateUpdate-referenceOracle,read,3
flashbots,stateUpdate-referenceOracle,read,0
flashbots,stateUpdate-referenceOracle,read,2
flashbots,stateUpdate-referenceOracle,read,3
flashbots,stateUpdate-referenceOracle,read,1
flashbots,stateUpdate-referenceOracle,read,1
flashbots,stateUpdate-referenceOracle,read,0
flashbots,stateUpdate-referenceOracle,read,0
flashbots,stateUpdate-referenceOracle,write,4
flashbots,stateUpdate-referenceOracle,write,3
flashbots,stateUpdate-referenceOracle,write,1
flashbots,stateUpdate-referenceOracle,write,0
flashbots,stateUpdate-referenceOracle,read,2
flashbots,stateUpdate-referenceOracle,read,1
flashbots,stateUpdate-referenceOracle,read,0
flashbots,stateUpdate-referenceOracle,read,4
flashbots,stateUpdate-referenceOracle,read,4
flashbots,stateUpdate-referenceOracle,read,4
flashbots,stateUpdate-referenceOracle,read,5
flashbots,stateUpdate-referenceOracle,read,3
flashbots,stateUpdate-referenceOracle,read,0
flashbots,stateUpdate-referenceOracle,read,2
flashbots,stateUpdate-referenceOracle,read,3
flashbots,stateUpdate-referenceOracle,read,1
flashbots,stateUpdate-referenceOracle,read,1
flashbots,stateUpdate-referenceOracle,read,0
flashbots,stateUpdate-referenceOracle,read,0
flashbots,stateUpdate-referenceOracle,write,4
flashbots,stateUpdate-referenceOracle,write,3
flashbots,stateUpdate-referenceOracle,write,1
flashbots,stateUpdate-referenceOracle,write,0
univ2-canonical-30bps,stateUpdate-algorithmOracle,read,0
univ2-canonical-30bps,stateUpdate-algorithmOracle,read,1
univ2-canonical-30bps,stateUpdate-algorithmOracle,read,0
univ2-canonical-30bps,stateUpdate-algorithmOracle,read,0
univ2-canonical-30bps,stateUpdate-algorithmOracle,read,1
